N p time
10 1 0.001891
10 2 0.001527
10 3 0.001557
10 4 0.001613
10 5 0.002106
10 10 0.003689
10 20 0.107999
20 1 0.057923
20 2 0.061429
20 3 0.047517
20 4 0.037857
20 5 0.032873
20 10 0.027480
20 20 0.067908
30 1 0.446467
30 2 0.300124
30 3 0.260316
30 4 0.222234
30 5 0.224628
30 10 0.345519
30 20 0.357735
40 1 1.898687
40 2 1.051933
40 3 0.761507
40 4 0.598338
40 5 0.498812
40 10 0.382489
40 20 0.283757
50 1 5.849667
50 2 3.235731
50 3 2.514848
50 4 1.959184
50 5 1.580714
50 10 0.928764
50 20 0.595651
60 1 14.650190
60 2 7.576423
60 3 5.556235
60 4 4.289525
60 5 3.680012
60 10 1.899283
60 20 1.040111
70 1 32.571660
70 2 17.365567
70 3 11.855471
70 4 9.183926
70 5 7.612520
70 10 3.914776
70 20 1.942204
80 1 62.664037
80 2 33.785309
80 3 23.224549
80 4 18.078986
80 5 14.985427
80 10 9.588773
80 20 4.218006
90 1 111.955256
90 2 58.674595
90 3 40.860407
90 4 32.026397
90 5 26.728806
90 10 14.238212
90 20 10.374580
100 1 190.539022
100 2 99.481642
100 3 69.768115
100 4 53.718553
100 5 44.961242
100 10 23.937345
100 20 15.418869
